Component,ComponentCode,ComponentType,Quantity,DateReceived,Notes,LeadTimeDays,MaxCapacity,SafetyFactor,ReorderPoint
Cool Power 50 Drum Label,ATCP50-55-LABEL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
DEF Drum Label,TBDDEFDL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Drum Fleet Power Label,TBDFLTPWRDRMLBL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Drum Global Power 100 Label,LBL-ATGLPFS-55,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Drum Oil 5W20 Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Drum Super Purple Cleaner & Degreaser Label,LBL-TBD-SPCD55G,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Global Power 50 Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Green Laundry Bucket Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
OTR +32 Back Label,LBL-52091-B,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Oil 10W30 Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Oil 5W30 Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Oil Blank Box,BOX-OIL-BLANK,box,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
PG Drum Label,TBDDRUMLABELPG,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Propel 50 Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Quality DEF W/Wash 0 Drum Label,LBL-Q1WWZ5,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
RV-100 Blue Drum Label,TBDRV100BDR,label,-6.029999999999999,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
RV-50 Pink Drum Label,TBD,label,-60.60000000000001,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Simply Green Back Label,LBL-99987-B,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Simply Green Front Label,LBL-99987-F,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Steel Drum 55 Gal,DRUM-MT55-STL,drum,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Super Purple Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Tote OTR-25 Label,OTRW252-LBL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Tote Quality DEF W/Wash 0 Label,LBL-Q1WWZ5-275,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Tote Super Purple Cleaner & Degreaser Label,LBL-TBD-SPCD-TT,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
W/Wash -30 Drum Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
xtreme back label,TBDXTREMEBACKLABEL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
xtreme front label,TBDFRONTXTREME,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
